statistischer_Bezirk_Name,statistischer_Bezirk_Nr,31.12.2002,30.06.2003,31.12.2003,30.06.2004,31.12.2004,30.06.2005,31.12.2005,30.06.2006,31.12.2006,30.06.2007,31.12.2007,30.06.2008,31.12.2008,30.06.2009,31.12.2009,30.06.2010,31.12.2010,30.06.2011,31.12.2011,30.06.2012,31.12.2012,30.06.2013,31.12.2013,30.06.2014,31.12.2014,30.06.2015,31.12.2015,30.06.2016,31.12.2016,30.06.2017,31.12.2017
Jena (gesamt),0,97943,99156,100509,100108,100623,100486,100871,100754,100953,100964,101406,101199,101949,101885,103006,102849,103714,103396,104090,103891,104551,104234,105282,105000,105708,105717,107048,107057,107983,,
Ammerbach Ort,11,442,438,444,445,458,465,462,458,454,462,467,461,463,452,448,452,454,451,474,474,468,461,470,478,476,477,476,470,470,,
Beutenberg / Winzerlaer Straße,12,2252,2229,2343,2336,2387,2461,2511,2483,2532,2593,2648,2639,2650,2635,2675,2643,2622,2657,2682,2737,2729,2710,2704,2681,2656,2641,2677,2661,2619,,
Burgau Ort,21,409,407,411,414,427,419,427,421,422,417,438,429,427,433,419,420,434,431,430,428,423,420,428,413,492,514,555,560,570,,
Ringwiese Flur Burgau,22,877,875,879,869,845,836,828,825,813,806,803,793,810,801,792,799,790,774,763,747,746,762,761,772,773,764,768,770,781,,
Göschwitz,30,606,603,593,588,589,589,584,580,589,591,581,594,596,597,603,589,594,587,591,585,597,595,602,586,582,585,624,582,590,,
Jena-Zentrum,41,3707,3863,4034,4007,4105,4068,4069,4074,4080,4085,4124,4159,4196,4200,4276,4267,4393,4399,4437,4428,4480,4458,4573,4598,4691,4693,4794,4750,4785,,
Jena-West,42,7684,7892,8121,8109,8186,8279,8326,8349,8421,8403,8403,8377,8485,8463,8681,8657,8688,8657,8701,8693,8817,8775,8878,8859,8827,8772,8992,8933,9068,,
Jena-Nord,43,8992,9212,9326,9280,9324,9306,9335,9432,9497,9474,9531,9541,9673,9735,9841,9862,10002,9908,9999,9935,10071,10010,10013,9960,10055,10091,10185,10203,10294,,
Jena-Süd,44,6878,6913,6912,6877,6917,6931,6922,6992,7044,7103,7181,7151,7277,7321,7509,7585,7788,7905,8027,8023,8185,8157,8306,8352,8425,8407,8475,8444,8672,,
Lichtenhain Ort,51,682,681,822,810,902,934,976,948,979,1008,1031,1025,1037,1040,1076,1075,1046,1006,1049,1042,1090,1082,1124,1087,1117,1119,1210,1192,1200,,
Mühlenstraße,52,833,865,874,879,879,877,922,912,936,937,959,968,985,989,1005,1003,1031,1010,1045,1058,1062,1016,1041,1012,1020,1020,1017,1028,1034,,
Lobeda-Altstadt,61,1468,1477,1510,1510,1528,1533,1542,1548,1557,1570,1581,1581,1568,1572,1570,1561,1579,1569,1569,1562,1566,1564,1561,1572,1621,1616,1599,1612,1621,,
Lobeda-West,62,8975,9179,9453,9410,9483,9361,9360,9352,9238,9208,9117,9051,9009,8983,9097,9062,9129,9113,9263,9242,9291,9339,9598,9577,9724,9832,9923,10033,10219,,
Lobeda-Ost,63,6140,5936,5863,5854,5846,5809,5777,5718,5728,5698,5684,5645,5712,5708,5810,5788,5769,5742,5775,5759,5785,5721,5745,5809,5774,5814,5859,5879,5838,,
Löbstedt Ort,71,644,645,669,655,697,705,706,704,706,671,674,664,674,670,699,713,715,704,711,712,716,707,710,700,707,705,742,841,844,,
Nord II,72,5091,5176,5168,5140,5083,5066,5090,5113,5122,5089,5107,5224,5325,5309,5359,5382,5424,5416,5412,5371,5428,5437,5490,5413,5471,5511,5620,5756,5837,,
Wenigenjena / Kernberge,81,2091,2150,2194,2204,2251,2246,2275,2285,2296,2282,2333,2371,2379,2350,2402,2422,2429,2369,2393,2401,2419,2414,2449,2457,2461,2448,2472,2450,2462,,
Wenigenjena Ort,82,4828,4969,5062,5100,5059,5053,5156,5136,5139,5160,5198,5190,5291,5289,5332,5329,5370,5331,5333,5404,5408,5455,5537,5521,5580,5591,5646,5734,5784,,
Wenigenjena / Schlegelsberg,83,5342,5409,5437,5395,5373,5368,5365,5341,5371,5353,5344,5333,5352,5363,5425,5410,5447,5439,5415,5400,5426,5464,5501,5478,5466,5513,5598,5647,5645,,
Winzerla,90,11730,11756,11734,11662,11542,11420,11379,11266,11167,11092,11088,10933,10907,10898,10831,10759,10748,10700,10681,10611,10533,10479,10516,10439,10460,10411,10558,10398,10351,,
Wöllnitz,100,572,564,568,570,568,568,568,564,557,556,554,561,555,559,565,553,547,553,544,552,551,550,549,560,562,563,568,563,571,,
Ziegenhain Ort,111,371,354,370,372,373,376,385,378,376,376,381,377,373,377,389,390,395,394,386,387,394,396,386,397,398,397,397,385,401,,
